category,source,date,latitude,longitude,magnitude_value,magnitude_unit,location,binary_category
0,0,2026-04-06,0.20062470665413995,-0.1559908422714166,-0.035392065694841685,1,0,0
0,0,2026-04-05,-0.2722356715689841,-0.011511842526836824,-0.11032271993845184,1,1,0
1,1,2026-04-05,-2.6448081936834025,4.360336292072187,-0.13554116063165914,2,2,0
1,1,2026-04-05,-2.6860484094009207,4.3689822220876255,-0.13481649279564742,2,2,0
1,1,2026-04-05,-2.7096142469537887,4.370711408090714,-0.1345749368503102,2,2,0
1,1,2026-04-05,-2.721397165730223,4.374169780096889,-0.1338502690142985,2,2,0
1,1,2026-04-06,-2.7567459220595243,4.382815710112327,-0.13360871306896124,2,2,0
1,1,2026-04-06,-2.7803117596123927,4.3914616401277655,-0.13312560117828678,2,2,0
1,1,2026-04-06,-2.8038775971652603,4.394920012133941,-0.13288404523294955,2,2,0
1,1,2026-04-06,-2.839226353494562,4.405295128152467,-0.13288404523294955,2,2,0
1,1,2026-04-07,-2.898140947376732,4.412211872164817,-0.13264248928761233,2,2,0
1,1,2026-04-07,-2.9629470006471186,4.420857802180255,-0.13264248928761233,2,2,0
1,1,2026-04-07,-3.0100786757528546,4.4312329181987815,-0.13288404523294955,2,2,0
1,1,2026-04-07,-3.0748847290232413,4.450253964232745,-0.13312560117828678,2,2,0
1,1,2026-04-08,-3.1396907822936275,4.457170708245097,-0.13360871306896124,2,2,0
1,1,2026-04-08,-3.2103882949522315,4.464087452257447,-0.1338502690142985,2,2,0
1,1,2026-04-04,-2.3679096024372046,4.071562229556548,-0.13578271657699637,2,3,0
1,1,2026-04-04,-2.3679096024372046,4.068103857550373,-0.13554116063165914,2,3,0
1,1,2026-04-04,-2.3620181430489873,4.0646454855441965,-0.13505804874098468,2,3,0
1,1,2026-04-04,-2.3561266836607704,4.059457927534934,-0.1345749368503102,2,3,0
1,1,2026-04-05,-2.3502352242725535,4.055999555528759,-0.13433338090497296,2,3,0
1,1,2026-04-05,-2.373801061825421,4.059457927534934,-0.13433338090497296,2,3,0
1,1,2026-04-05,-2.3796925212136384,4.06291629954111,-0.1338502690142985,2,3,0
1,1,2026-04-05,-2.391475439990072,4.06291629954111,-0.133367157123624,2,3,0
1,1,2026-04-06,-2.391475439990072,4.0646454855441965,-0.13312560117828678,2,3,0
1,1,2026-04-06,-2.403258358766506,4.0750206015627235,-0.133367157123624,2,3,0
1,1,2026-04-06,-2.403258358766506,4.078478973568898,-0.13288404523294955,2,3,0
1,1,2026-04-06,-2.41504127754294,4.088854089587425,-0.13312560117828678,2,3,0
1,1,2026-04-07,-2.41504127754294,4.094041647596688,-0.13312560117828678,2,3,0
1,1,2026-04-07,-2.41504127754294,4.095770833599775,-0.13264248928761233,2,3,0
1,1,2026-04-07,-2.403258358766506,4.0923124615935995,-0.13215937739693784,2,3,0
1,1,2026-04-07,-2.391475439990072,4.087124903584336,-0.13143470956092615,2,3,0
1,1,2026-04-08,-2.3620181430489873,4.08539571758125,-0.1319178214516006,2,3,0
1,1,2026-04-08,-2.3384523054961197,4.08539571758125,-0.13215937739693784,2,3,0
1,1,2026-04-08,-2.3384523054961197,4.081937345575073,-0.1324009333422751,2,3,0
0,0,2026-04-03,-0.20531410717001716,-0.014028510210846447,-0.05051346787295257,1,1,0
0,0,2026-04-03,-0.286522454693951,-0.015873240422660535,-0.11278659058089163,1,1,0
0,0,2026-04-03,0.1649276472458065,-0.6349088260493002,0.0642739173513013,1,4,0
0,0,2026-04-03,0.6924442371565408,-0.14298974980488185,-0.09871354120554435,1,5,0
0,0,2026-04-02,-0.20265211016004506,-0.017108847573026817,-0.006453663443440984,1,1,0
0,0,2026-04-02,0.8615165610069522,-0.21316758443534037,-0.10579596152283208,1,5,0
0,0,2026-04-02,0.01859934949528177,-0.2624332210925818,-0.0891624191269101,1,6,0
1,1,2026-04-02,-2.5151960871426287,2.662275637040104,,3,7,0
1,1,2026-04-02,-2.5387619246954967,2.660546451037016,-0.13554116063165914,2,7,0
1,1,2026-04-02,-2.5741106810247985,2.655358893027753,-0.1352996046863219,2,7,0
1,1,2026-04-02,-2.5741106810247985,2.660546451037016,-0.13481649279564742,2,7,0
1,1,2026-04-03,-2.662482571848053,2.655358893027753,-0.13481649279564742,2,7,0
1,1,2026-04-03,-2.7272886251184394,2.6501713350184906,-0.13481649279564742,2,7,0
1,1,2026-04-03,-2.8038775971652603,2.6380670329968767,-0.1345749368503102,2,7,0
1,1,2026-04-03,-2.880466569212081,2.6276919169783506,-0.13433338090497296,2,7,0
1,1,2026-04-04,-2.9570555412589017,2.608670870944386,-0.133367157123624,2,7,0
1,1,2026-04-04,-3.0277530539175057,2.6034833129351234,-0.13312560117828678,2,7,0
1,1,2026-04-04,-3.1102334853525426,2.600024940928948,-0.13360871306896124,2,7,0
1,1,2026-04-04,-3.228062673116882,2.605212498938211,-0.13409182495963573,2,7,0
1,1,2026-04-05,-3.345891860881222,2.6034833129351234,-0.13409182495963573,2,7,0
1,1,2026-04-05,-3.481395426810212,2.615587614956737,-0.13433338090497296,2,7,0
1,1,2026-04-05,-3.6110075333509855,2.632879474987614,-0.1345749368503102,2,7,0
1,1,2026-04-05,-3.7170538023388913,2.6536297070246655,-0.13505804874098468,2,7,0
0,0,2026-04-01,0.21845626895526832,-0.24150275599842821,-0.06974132112179644,1,8,0
0,0,2026-03-31,0.43030295633080906,0.07582405809669572,-0.06500682459318664,1,9,0
0,0,2026-03-31,0.09279438593429433,-0.23764357596859717,-0.11288321295902654,1,6,0
0,0,2026-03-31,0.19615173394282379,-0.02018178401911398,-0.10818253426276393,1,10,0
0,0,2026-03-30,0.2330224309758837,-0.26001028220668343,-0.11307645771529631,1,11,0
0,0,2026-03-30,0.13641886348330576,-0.106857237611441,-0.01669563552573973,1,12,0
0,0,2026-03-30,0.06737422921336358,-0.1306191358469327,-0.10993623042591227,1,12,0
0,0,2026-03-30,0.21876238918507995,-0.2401313212875193,-0.04626208323501724,1,8,0
0,0,2026-03-30,0.015021171635848336,-0.25760286103597674,-0.0711423456047524,1,6,0
0,0,2026-03-30,0.2045470635710329,-0.23240575052222434,0.04586735431660402,1,8,0
0,0,2026-03-30,0.02655034525643169,-0.1476308677453089,-0.06771225118096366,1,0,0
